time,XRPUSDT,DOGEUSDT,TONUSDT,ADAUSDT,SHIBUSDT,AVAXUSDT,TRXUSDT,LINKUSDT,UNIUSDT,DOTUSDT,BCHUSDT,NEARUSDT,LTCUSDT,POLUSDT,PEPEUSDT,ICPUSDT,KASUSDT,FETUSDT,ETCUSDT,APTUSDT,HBARUSDT,FILUSDT,STXUSDT,XLMUSDT,ARBUSDT,IMXUSDT,INJUSDT,WIFUSDT,SUIUSDT,GRTUSDT
2025-01-03 03:45:00,2.4675,0.3417,5.681,1.0267,0.000022826,39.877,0.26644,22.235,14.373,7.328,464.83,5.493,106.38,0.4914,0.0000203271,11.204,0.12262,1.4116,27.008,9.325,0.304,5.423,1.6474,0.45362,0.7757,1.3854,22.046,1.995,4.3738,0.22137
2025-01-03 04:00:00,2.457,0.34057,5.675,1.0181,0.000022749,39.838,0.26571,22.139,14.341,7.27,463.2,5.474,105.94,0.4892,0.0000203006,11.032,0.12198,1.4053,26.963,9.291,0.30445,5.366,1.6417,0.452,0.7736,1.3854,21.927,1.9869,4.3542,0.22031
2025-01-03 04:15:00,2.4499,0.33994,5.667,1.013,0.000022717,39.725,0.26527,22.12,14.274,7.235,462.37,5.46,105.64,0.4873,0.0000202671,10.97,0.12184,1.3999,26.869,9.259,0.3023,5.339,1.6362,0.44899,0.7717,1.3767,21.817,1.9797,4.3467,0.21928
2025-01-03 04:30:00,2.4505,0.34,5.668,1.0159,0.000022694,39.811,0.26544,22.12,14.249,7.269,462.38,5.46,105.96,0.4877,0.0000203681,10.966,0.12178,1.4008,26.878,9.282,0.30429,5.352,1.6375,0.44778,0.7711,1.3758,21.727,1.9817,4.3789,0.21913
2025-01-03 04:45:00,2.4431,0.33885,5.664,1.0142,0.000022657,39.741,0.26476,22.092,14.222,7.248,461.35,5.467,105.51,0.4853,0.0000204055,10.921,0.12154,1.3982,26.807,9.24,0.30238,5.334,1.635,0.44531,0.7707,1.3687,21.706,1.9731,4.3632,0.21819
2025-01-03 05:00:00,2.441,0.3386,5.664,1.0179,0.000022698,39.858,0.26445,22.081,14.205,7.243,461.79,5.49,105.37,0.4857,0.0000204183,10.917,0.12161,1.396,26.804,9.245,0.30244,5.344,1.6364,0.44703,0.7701,1.3692,21.735,1.98,4.3579,0.21833
2025-01-03 05:15:00,2.4293,0.33798,5.636,1.0111,0.000022628,39.793,0.26387,22.031,14.192,7.219,460.42,5.48,104.8,0.4847,0.0000203344,10.929,0.12133,1.3891,26.738,9.21,0.30043,5.315,1.6316,0.44364,0.7669,1.3616,21.657,1.9746,4.3454,0.21769
2025-01-03 05:30:00,2.4252,0.33837,5.638,1.0147,0.000022632,39.806,0.26382,22.017,14.202,7.233,460.62,5.474,104.99,0.4844,0.0000203355,10.903,0.12155,1.3871,26.793,9.226,0.30303,5.318,1.6319,0.44613,0.7685,1.3648,21.627,1.974,4.3522,0.21791
2025-01-03 05:45:00,2.4293,0.33918,5.644,1.0212,0.000022685,39.959,0.26396,22.053,14.221,7.237,461.39,5.484,105.07,0.4847,0.0000203751,10.875,0.1215,1.3837,26.816,9.24,0.30162,5.306,1.6336,0.44895,0.77,1.3668,21.637,1.9757,4.3603,0.21788
2025-01-03 06:00:00,2.4491,0.34092,5.648,1.0332,0.000022818,40.143,0.26444,22.202,14.275,7.32,462.51,5.512,105.51,0.4893,0.0000204746,11.021,0.12221,1.3943,26.942,9.293,0.30557,5.345,1.6468,0.45647,0.7741,1.377,21.822,1.994,4.3673,0.21902
2025-01-03 06:15:00,2.4435,0.34025,5.643,1.0308,0.000022803,39.861,0.26391,22.114,14.209,7.289,460.99,5.496,105.19,0.487,0.0000203794,10.96,0.12201,1.3968,26.84,9.252,0.30354,5.326,1.6391,0.45527,0.7707,1.3703,21.688,1.9799,4.3507,0.21839
2025-01-03 06:30:00,2.4476,0.34007,5.644,1.0318,0.000022829,39.918,0.26387,22.142,14.224,7.285,460.72,5.52,105.12,0.4875,0.0000204633,10.935,0.12239,1.3964,26.821,9.266,0.30423,5.312,1.6378,0.45591,0.7713,1.37,21.731,1.9753,4.3408,0.21869
2025-01-03 06:45:00,2.4445,0.33846,5.619,1.0391,0.000022709,39.707,0.26321,21.973,14.138,7.259,459.06,5.494,104.84,0.486,0.0000203544,10.894,0.12186,1.4026,26.761,9.214,0.30313,5.292,1.6302,0.4542,0.7681,1.3639,21.592,1.9645,4.3194,0.2178
